generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,api_key_disabled
gen-1784933063-fwqLEzWmtsShk4Os7UBd,2026-07-24 22:44:23.238,0.111145,,-0.856396,,0,320199,463,1,317184,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,stop,stop,22659,12147,Hermes Agent,Hermes Agent,false
gen-1784933036-OPgVST7BX0AMKKgrzizH,2026-07-24 22:43:55.940,0.115099,,-0.856396,,0,319172,932,1,317184,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,26208,11572,Hermes Agent,Hermes Agent,false
gen-1784933012-HKm0GCXOnjugpky4bIX2,2026-07-24 22:43:32.648,0.111943,,-0.850867,,0,317822,623,1,315136,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,22477,12616,Hermes Agent,Hermes Agent,false
gen-1784932992-sM728S89mQsU2V2WLLRL,2026-07-24 22:43:12.104,0.105886,,-0.850867,,0,316768,430,1,315136,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,19705,12101,Hermes Agent,Hermes Agent,false
gen-1784932970-YbiSTIBee62l4TG2bCvT,2026-07-24 22:42:50.596,0.10162,,-0.850867,,0,315806,338,1,315136,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,20691,13941,Hermes Agent,Hermes Agent,false
gen-1784932953-wGKjFmjpZfGCFRgXG7ng,2026-07-24 22:42:33.463,0.104825,,-0.845337,,0,315391,266,1,313088,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,16094,11811,Hermes Agent,Hermes Agent,false
gen-1784932935-AlwkQawbst8iZEl2MuB3,2026-07-24 22:42:15.271,0.107523,,-0.839808,,0,314457,264,1,311040,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,17254,12386,Hermes Agent,Hermes Agent,false
gen-1784932926-6pfPQszbirYrc4fjayyb,2026-07-24 22:42:06.045,0.10105,,-0.823219,,0,307520,114,1,304896,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,stop,stop,15111,12385,Hermes Agent,Hermes Agent,false
gen-1784932878-Q0HdELtzxr3YaeVzUThX,2026-07-24 22:41:18.204,0.130545,,-0.834278,,0,312553,1811,1,308992,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,56162,12195,Hermes Agent,Hermes Agent,false
gen-1784932861-QG8MekSlSeUtloGgd9UL,2026-07-24 22:41:01.638,0.096666,,-0.834278,,0,309805,102,1,308992,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,15424,13702,Hermes Agent,Hermes Agent,false
gen-1784932846-qQQiz4NzsyS1ih2TTFTd,2026-07-24 22:40:46.517,0.096915,,-0.834278,,0,309593,161,1,308992,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,14275,11537,Hermes Agent,Hermes Agent,false
gen-1784932832-SLC49kCnsxWutokbTmDN,2026-07-24 22:40:31.956,0.099265,,-0.828748,,0,309063,55,1,306944,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,13497,13497,Hermes Agent,Hermes Agent,false
gen-1784932817-U4AO8YIbWCpEhzyQnFGU,2026-07-24 22:40:17.420,0.105055,,-0.823219,,0,308785,128,1,304896,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,13554,11554,Hermes Agent,Hermes Agent,false
gen-1784932793-nU8ditN3vcurBeCeAvLJ,2026-07-24 22:39:52.881,0.106348,,-0.828748,,0,309419,456,1,306944,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,stop,stop,23311,13465,Hermes Agent,Hermes Agent,false
gen-1784932503-p5rFdSmA4abwyUI0k1G1,2026-07-24 22:35:03.505,0.104458,,-0.828748,,0,308794,455,1,306944,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,23914,12673,Hermes Agent,Hermes Agent,false
gen-1784932482-8sG1LAMU1WfUTM8s3svd,2026-07-24 22:34:42.522,0.100357,,-0.828748,,0,307662,408,1,306944,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,stop,stop,19814,11818,Hermes Agent,Hermes Agent,false
gen-1784932443-66J9HNUWBpTlfuuIOyrs,2026-07-24 22:34:03.300,0.101851,,-0.823219,,0,307017,268,1,304896,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,19323,11784,Hermes Agent,Hermes Agent,false
gen-1784932416-6tNtok3V1uMA2kPxKZYh,2026-07-24 22:33:36.283,0.102067,,-0.823219,,0,305759,534,1,304896,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,stop,stop,25657,13451,Hermes Agent,Hermes Agent,false
gen-1784932412-sddqqdpMiFWiXnQhLM6q,2026-07-24 22:33:32.464,0.001417,,-0.000691,,0,458,49,31,256,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,stop,stop,2828,1658,Hermes Agent,Hermes Agent,false
gen-1784932394-7CMenO4FQpF5rjztsZbh,2026-07-24 22:33:14.320,0.096691,,-0.823219,,0,305427,242,1,304896,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,17430,11902,Hermes Agent,Hermes Agent,false
gen-1784932371-s0Pq04kHHgTZw4cE0QEo,2026-07-24 22:32:51.615,0.001759,,-0.000691,,0,487,66,48,256,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,stop,stop,3207,1978,Hermes Agent,Hermes Agent,false
gen-1784932355-JVhyKkcf2yG8NEjMyBS1,2026-07-24 22:32:35.329,0.100058,,-0.817689,,0,304966,190,1,302848,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,15462,11816,Hermes Agent,Hermes Agent,false
gen-1784932331-3xRV5otuTsVXaqVpudG7,2026-07-24 22:32:11.899,0.101783,,-0.817689,,0,304341,430,1,302848,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,20173,12196,Hermes Agent,Hermes Agent,false
gen-1784932298-MUbxx6drWllzXB98DfS5,2026-07-24 22:31:38.222,0.107029,,-0.805939,,0,303948,75,1,298496,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,13532,13331,Hermes Agent,Hermes Agent,false
gen-1784932262-vlBI4KNaVlk1UEvu6aIu,2026-07-24 22:31:01.904,0.118333,,-0.805939,,0,302776,1063,1,298496,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,34927,13242,Hermes Agent,Hermes Agent,false
gen-1784932243-GWFYvJbBc7CHukd5MUrV,2026-07-24 22:30:43.731,0.099292,,-0.805939,,0,300749,199,1,298496,moonshotai/kimi-k3-20260715,Moonshot AI,standard,false,true,,tool_calls,tool_calls,17086,13374,Hermes Agent,Hermes Agent,false
